source_temperature_k,receiver_temperature_k,net_flux_w_m2,useful_at_25pct_w_m2
300,273.15,143.412661,35.853165
300,293.15,40.475720,10.118930
300,313.15,-85.869223,0.000000
300,333.15,-238.922648,0.000000
300,373.15,-639.445522,0.000000
300,423.15,-1357.620833,0.000000
300,473.15,-2381.098584,0.000000
400,273.15,1134.868736,283.717184
400,293.15,1031.931794,257.982949
400,313.15,905.586851,226.396713
400,333.15,752.533427,188.133357
400,373.15,352.010553,88.002638
400,423.15,-366.164758,0.000000
400,473.15,-1389.642509,0.000000
500,273.15,3226.374498,806.593624
500,293.15,3123.437556,780.859389
500,313.15,2997.092613,749.273153
500,333.15,2844.039188,711.009797
500,373.15,2443.516314,610.879079
500,423.15,1725.341004,431.335251
500,473.15,701.863252,175.465813
750,273.15,17621.648425,4405.412106
750,293.15,17518.711483,4379.677871
750,313.15,17392.366540,4348.091635
750,333.15,17239.313115,4309.828279
750,373.15,16838.790241,4209.697560
750,423.15,16120.614931,4030.153733
750,473.15,15097.137179,3774.284295
1000,273.15,56381.809668,14095.452417
1000,293.15,56278.872726,14069.718182
1000,313.15,56152.527783,14038.131946
1000,333.15,55999.474359,13999.868590
1000,373.15,55598.951484,13899.737871
1000,423.15,54880.776174,13720.194043
1000,473.15,53857.298423,13464.324606
1500,273.15,286736.441036,71684.110259
1500,293.15,286633.504094,71658.376024
1500,313.15,286507.159151,71626.789788
1500,333.15,286354.105726,71588.526432
1500,373.15,285953.582852,71488.395713
1500,423.15,285235.407542,71308.851885
1500,473.15,284211.929791,71052.982448
2000,273.15,906929.315673,226732.328918
2000,293.15,906826.378732,226706.594683
2000,313.15,906700.033789,226675.008447
2000,333.15,906546.980364,226636.745091
2000,373.15,906146.457490,226536.614372
2000,423.15,905428.282179,226357.070545
2000,473.15,904404.804428,226101.201107
3000,273.15,4592664.053337,1148166.013334
3000,293.15,4592561.116395,1148140.279099
3000,313.15,4592434.771452,1148108.692863
3000,333.15,4592281.718027,1148070.429507
3000,373.15,4591881.195153,1147970.298788
3000,423.15,4591163.019843,1147790.754961
3000,473.15,4590139.542092,1147534.885523
4000,273.15,14515810.706449,3628952.676612
4000,293.15,14515707.769507,3628926.942377
4000,313.15,14515581.424564,3628895.356141
4000,333.15,14515428.371140,3628857.092785
4000,373.15,14515027.848266,3628756.962066
4000,423.15,14514309.672955,3628577.418239
4000,473.15,14513286.195204,3628321.548801
5000,273.15,35439483.783720,8859870.945930
5000,293.15,35439380.846779,8859845.211695
5000,313.15,35439254.501836,8859813.625459
5000,333.15,35439101.448411,8859775.362103
5000,373.15,35438700.925537,8859675.231384
5000,423.15,35437982.750226,8859495.687557
5000,473.15,35436959.272475,8859239.818119
5778,273.15,63200334.342896,15800083.585724
5778,293.15,63200231.405954,15800057.851489
5778,313.15,63200105.061011,15800026.265253
5778,333.15,63199952.007586,15799988.001897
5778,373.15,63199551.484712,15799887.871178
5778,423.15,63198833.309402,15799708.327350
5778,473.15,63197809.831650,15799452.457913
