source_temperature_k,receiver_temperature_k,net_flux_w_m2,captured_w,useful_gross_w,heat_rejection_w,useful_sustainable_w
400,373.15,352.010550,281.608440,70.402110,1000.000000,70.402110
500,373.15,2443.516292,1954.813034,488.703258,1000.000000,333.333333
750,373.15,16838.790093,13471.032074,3367.758019,1000.000000,333.333333
1000,373.15,55598.950993,44479.160794,11119.790199,1000.000000,333.333333
1500,373.15,285953.580325,228762.864260,57190.716065,1000.000000,333.333333
2000,373.15,906146.449482,724917.159585,181229.289896,1000.000000,333.333333
3000,373.15,4591881.154574,3673504.923659,918376.230915,1000.000000,333.333333
4000,373.15,14515027.719798,11612022.175838,2903005.543960,1000.000000,333.333333
5000,373.15,35438700.462860,28350960.370288,7087740.092572,1000.000000,333.333333
5778,373.15,63199543.886448,50559635.109158,12639908.777289,1000.000000,333.333333
