capture,heat_limit_w_m2,fixed_bandgap_ev,adaptive_gain_percent,adaptive_thermal_limited_points
0.10,500,1.30,4.626715,9
0.10,1000,1.30,4.626715,9
0.10,2000,1.30,4.626715,9
0.10,5000,1.30,4.267924,8
0.10,10000,1.30,3.879940,7
0.10,20000,1.30,3.487704,6
0.10,50000,1.30,2.863841,5
0.10,100000,1.30,1.958886,3
0.20,500,1.30,4.626715,9
0.20,1000,1.30,4.626715,9
0.20,2000,1.30,4.626715,9
0.20,5000,1.30,4.626715,9
0.20,10000,1.30,4.267924,8
0.20,20000,1.30,3.879940,7
0.20,50000,1.30,3.372002,5
0.20,100000,1.30,2.863841,4
0.30,500,1.30,4.626715,9
0.30,1000,1.30,4.626715,9
0.30,2000,1.30,4.626715,9
0.30,5000,1.30,4.626715,9
0.30,10000,1.30,4.626715,9
0.30,20000,1.30,4.201635,8
0.30,50000,1.30,3.712607,6
0.30,100000,1.30,3.280215,4
0.50,500,1.30,4.626715,9
0.50,1000,1.30,4.626715,9
0.50,2000,1.30,4.626715,9
0.50,5000,1.30,4.626715,9
0.50,10000,1.30,4.626715,9
0.50,20000,1.30,4.332004,8
0.50,50000,1.30,3.879940,6
0.50,100000,1.30,3.487704,5
0.65,500,1.30,4.626715,9
0.65,1000,1.30,4.626715,9
0.65,2000,1.30,4.626715,9
0.65,5000,1.30,4.626715,9
0.65,10000,1.30,4.626715,9
0.65,20000,1.30,4.626715,9
0.65,50000,1.30,4.174623,7
0.65,100000,1.30,3.734340,5
0.80,500,1.30,4.626715,9
0.80,1000,1.30,4.626715,9
0.80,2000,1.30,4.626715,9
0.80,5000,1.30,4.626715,9
0.80,10000,1.30,4.626715,9
0.80,20000,1.30,4.626715,9
0.80,50000,1.30,4.214750,7
0.80,100000,1.30,3.797581,5
0.90,500,1.30,4.626715,9
0.90,1000,1.30,4.626715,9
0.90,2000,1.30,4.626715,9
0.90,5000,1.30,4.626715,9
0.90,10000,1.30,4.626715,9
0.90,20000,1.30,4.626715,9
0.90,50000,1.30,4.241836,7
0.90,100000,1.30,3.839608,5
