source_temperature_k,bandgap_ev,cutoff_wavelength_um,efficiency,absorbed_w_m2,gross_electric_w_m2,rejected_heat_w_m2,sustainable_electric_w_m2
1000.0,0.4,3.099605,0.268432,4106.948570,1102.343,3004.606,1102.343
1000.0,0.5,2.479684,0.273369,4106.948570,1122.619,2984.330,1000.000
1000.0,0.6,2.066403,0.278307,4106.948570,1142.894,2964.054,1000.000
1000.0,0.7,1.771203,0.283245,4106.948570,1163.170,2943.779,1000.000
1000.0,0.8,1.549802,0.289324,4106.948570,1188.852,2918.097,407.111
1000.0,0.9,1.377603,0.283245,4106.948570,1163.170,2943.779,1000.000
1000.0,1.0,1.239842,0.278307,4106.948570,1142.894,2964.054,1000.000
1000.0,1.1,1.127129,0.273369,4106.948570,1122.619,2984.330,1000.000
1000.0,1.2,1.033202,0.268432,4106.948570,1102.343,3004.606,1000.000
1250.0,0.4,3.099605,0.267103,10474.680000,2797.864,7676.816,367.333
1250.0,0.5,2.479684,0.272128,10474.680000,2850.515,7624.165,374.047
1250.0,0.6,2.066403,0.277154,10474.680000,2903.166,7571.514,380.934
1250.0,0.7,1.771203,0.282179,10474.680000,2955.817,7518.863,387.996
1250.0,0.8,1.549802,0.287205,10474.680000,3008.468,7466.212,395.231
1250.0,0.9,1.377603,0.289979,10474.680000,3037.565,7437.115,408.408
1250.0,1.0,1.239842,0.287205,10474.680000,3008.468,7466.212,395.231
1250.0,1.1,1.127129,0.282179,10474.680000,2955.817,7518.863,387.996
1250.0,1.2,1.033202,0.277154,10474.680000,2903.166,7571.514,380.934
1250.0,1.3,0.955263,0.272128,10474.680000,2850.515,7624.165,374.047
1250.0,1.4,0.885601,0.267103,10474.680000,2797.864,7676.816,367.333
1500.0,0.4,3.099605,0.270158,22223.470000,6002.681,16220.789,370.000
1500.0,0.5,2.479684,0.275245,22223.470000,6115.707,16107.763,379.838
1500.0,0.6,2.066403,0.280332,22223.470000,6228.732,15994.738,389.969
1500.0,0.7,1.771203,0.285419,22223.470000,6341.758,15881.712,400.400
1500.0,0.8,1.549802,0.290506,22223.470000,6454.784,15768.686,411.142
1500.0,0.9,1.0,22223.47,648?
